scenario,year,scope,assumption,metric,unit,conditioning_scope,evidence_status,deterministic,mean,median,lower,upper,standard_deviation,interval_interpretation
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,100000.0,100013.31413793631,100001.56135952496,95105.12979377972,105010.54433172646,2515.6317550447893,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.012014953292877575,0.009757353875265655,0.0013309043478059541,0.03586651270388373,0.009175245344379614,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2000.0,2009.0172928312059,1676.942539637117,245.49267048543993,5591.993759383551,1403.9231178621947,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1200.0,1201.6697087738785,974.6369398893465,131.94406573253605,3589.7301170477836,918.7283761617571,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,800.0,807.3475840573276,625.8571299683181,72.91751624084672,2575.7249033514845,668.4266060463929,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,480.0,482.8924677325015,360.1770147631817,42.18211041358157,1641.4606776453402,434.4438723694924,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,40.0,40.86571936491908,26.376227839702366,1.939458191343517,159.94418508432045,45.98808678939976,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
primary,2025,full fictional diabetes cohort,Independent assumed parameter uncertainty; no event sampling,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4000000.0,4039865.78146228,3221779.1550855553,434958.457661344,12169431.096948674,3159204.5545108155,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,80000.0,80010.65131034904,80001.24908761997,76084.10383502376,84008.43546538119,2012.5054040358325,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.012014953292877575,0.009757353875265655,0.0013309043478059541,0.03586651270388373,0.009175245344379614,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
denominator_low,2025,full fictional diabetes cohort,Compatible denominator scaled by assumed low factor,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
