category,total_criteria,status,disposition
product_scope,5,bounded_pass,satisfied_under_bounded_scope
scientific_validity,9,bounded_pass,satisfied_under_bounded_scope
data_provenance_interoperability,8,bounded_pass,satisfied_under_bounded_scope
modelling_reproducibility,6,bounded_pass,satisfied_under_bounded_scope
federated_privacy_disclosure,5,bounded_pass,satisfied_under_bounded_scope
software_quality_maintainability,7,bounded_pass,satisfied_under_bounded_scope
security_supply_chain_ops,8,bounded_pass,satisfied_under_bounded_scope
governance_ethics_equity,7,bounded_pass,satisfied_under_bounded_scope
documentation_accessibility,5,bounded_pass,satisfied_under_bounded_scope
release_adoption_sustainability,7,bounded_pass,satisfied_under_bounded_scope
